Feature,Mean Absolute SHAP (Impact)
prior_inpatient_ratio,0.0253
discharge_disp_clean_Home,0.0218
number_inpatient,0.0205
high_acute_utilizer,0.0169
discharge_disp_clean_Facility_Transfer,0.0163
total_prior_visits,0.0152
number_diagnoses,0.0114
time_in_hospital,0.0094
age_encoded,0.0083
num_medications,0.0082
num_lab_procedures,0.0057
diabetes_med_prescribed,0.0055
insulin_No,0.0051
num_active_diabetes_meds,0.0043
number_emergency,0.0041
metformin_No,0.0035
payer_code_clean_Other_or_Missing,0.0034
diag_1_cat_Circulatory,0.0032
A1Cresult_nan,0.0029
metformin_Steady,0.0026
